entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:55:32.524Z,23.6,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:56:32.835Z,23.7,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:56:33.170Z,23.7,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:56:48.182Z,23.7,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:58:17.849Z,23.8,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:58:33.192Z,23.8,idle,,,26
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:59:33.819Z,23.8,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:01:48.695Z,23.9,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:02:04.045Z,23.9,idle,,,26
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:03:04.663Z,23.9,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:03:19.034Z,24,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:03:34.381Z,24,idle,,,26
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:04:35.014Z,24,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:12:51.288Z,24.1,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:13:06.650Z,24.1,idle,,,26
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:14:07.289Z,24.1,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:17:52.462Z,24.2,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:18:07.810Z,24.2,idle,,,26
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:19:08.442Z,24.2,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:24:24.079Z,24.3,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:24:39.433Z,24.3,idle,,,26
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:25:40.055Z,24.3,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:29:25.248Z,24.2,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:29:40.588Z,24.2,idle,,,26
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:30:41.210Z,24.2,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:40:27.859Z,24.1,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:40:43.200Z,24.1,idle,,,26
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T10:41:43.834Z,24.1,idle,,,25.5
